INFO  - 2021-01-22 13:51:00.383; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2021-01-22 13:51:00.437; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2021-01-22 13:51:00.474; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2021-01-22 13:51:00.476; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2021-01-22 13:51:00.488; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2021-01-22 13:51:00.562; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2021-01-22 13:51:00.565; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(SimpleFSDirectory@D:\YandexDisk\GitHub\django shop\frobshop\solr-4.7.2\example\solr\collection1\data\index lockFactory=NativeFSLockFactory@D:\YandexDisk\GitHub\django shop\frobshop\solr-4.7.2\example\solr\collection1\data\index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2021-01-22 13:51:00.606; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2021-01-22 13:51:00.612; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@556d58ef[collection1] main
INFO  - 2021-01-22 13:51:00.616; org.apache.solr.handler.component.SpellCheckComponent; Initializing spell checkers
INFO  - 2021-01-22 13:51:00.659; org.apache.solr.spelling.DirectSolrSpellChecker; init: {name=default,field=text,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
INFO  - 2021-01-22 13:51:00.664; org.apache.solr.handler.component.SpellCheckComponent; No queryConverter defined, using default converter
INFO  - 2021-01-22 13:51:00.666; org.apache.solr.handler.component.SuggestComponent; Initializing SuggestComponent
INFO  - 2021-01-22 13:51:00.745; org.apache.solr.spelling.suggest.SolrSuggester; init: {name=mySuggester,lookupImpl=FuzzyLookupFactory,dictionaryImpl=DocumentDictionaryFactory,field=cat,weightField=price,suggestAnalyzerFieldType=string}
INFO  - 2021-01-22 13:51:00.755; org.apache.solr.spelling.suggest.SolrSuggester; Dictionary loaded with params: {name=mySuggester,lookupImpl=FuzzyLookupFactory,dictionaryImpl=DocumentDictionaryFactory,field=cat,weightField=price,suggestAnalyzerFieldType=string}
INFO  - 2021-01-22 13:51:00.791; org.apache.solr.handler.component.QueryElevationComponent; Loading QueryElevation from: D:\YandexDisk\GitHub\django shop\frobshop\solr-4.7.2\example\solr\collection1\conf\elevate.xml
INFO  - 2021-01-22 13:51:00.812; org.apache.solr.handler.ReplicationHandler; Commits will be reserved for  10000
INFO  - 2021-01-22 13:51:00.878; org.apache.solr.core.QuerySenderListener; QuerySenderListener sending requests to Searcher@556d58ef[collection1] main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2021-01-22 13:51:00.879; org.apache.solr.core.CoreContainer; registering core: collection1
INFO  - 2021-01-22 13:51:00.885; org.apache.solr.servlet.SolrDispatchFilter; user.dir=D:\YandexDisk\GitHub\django shop\frobshop\solr-4.7.2\example
INFO  - 2021-01-22 13:51:00.909; org.apache.solr.core.SolrCore; [collection1] webapp=null path=null params={q=static+firstSearcher+warming+in+solrconfig.xml&distrib=false&event=firstSearcher} hits=0 status=0 QTime=26 
INFO  - 2021-01-22 13:51:00.927; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init() done
INFO  - 2021-01-22 13:51:00.928; org.apache.solr.core.QuerySenderListener; QuerySenderListener done.
INFO  - 2021-01-22 13:51:00.929; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: default
INFO  - 2021-01-22 13:51:00.930; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: wordbreak
INFO  - 2021-01-22 13:51:00.930; org.apache.solr.handler.component.SuggestComponent$SuggesterListener; Loading suggester index for: mySuggester
INFO  - 2021-01-22 13:51:00.931; org.apache.solr.spelling.suggest.SolrSuggester; reload()
INFO  - 2021-01-22 13:51:00.931; org.apache.solr.spelling.suggest.SolrSuggester; build()
INFO  - 2021-01-22 13:51:00.953; org.apache.solr.core.SolrCore; [collection1] Registered new searcher Searcher@556d58ef[collection1] main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2021-01-22 13:51:00.988; org.eclipse.jetty.server.AbstractConnector; Started SocketConnector@0.0.0.0:8983
INFO  - 2021-01-22 13:51:14.787; org.eclipse.jetty.server.Server; Graceful shutdown SocketConnector@0.0.0.0:8983
